id,division,summary,likeCount,s1,s2,s3,total,rationale
12634,LOCAL,유아부터 성인·시니어까지 누구나 참여 가능한 통합형 음악 콩쿠르 플랫폼을 통해 도전·성취·성장을 제공하는 ‘브릴리언트 뮤직 아카데미 콩쿠르’ 운영,0,4,3,5,12,"통합형 음악 콩쿠르 플랫폼, 지역성 약함"
12625,LOCAL,도전! 1인 디저트 카페,0,3,3,3,9,"1인 디저트카페, 매우 일반적"
12214,LOCAL,세계 최고 금속활자본 '직지'의 기록 문화를 현대적 아날로그 워크스테이션과 숙박으로 재해석하여 구도심에 활력을 불어넣는 '청주형 기록문화 복합 공간',0,8,9,6,23,"청주 직지 기록문화 복합공간, 지역자산 강하게 활용"
11943,LOCAL,AI 정밀 농업 데이터를 활용하여 기존 대비 60배의 효율을 실현하는 스마트 항공 방제 솔루션,0,7,4,8,19,"AI 항공 방제 솔루션, 효율 수치 명확. 확장성 높음"
12596,LOCAL,생선부산물을 세척하여 염도를 뺀 후 건조하여 갈아서 애완동물용 식품으로 가공,0,6,5,6,17,"생선부산물 펫푸드, 자원순환 아이디어"
12599,LOCAL,"방문을 인증하고, 신뢰를 데이터로 만드는 로컬 플랫폼",0,5,4,5,14,"방문 인증 신뢰 데이터, 모호함"
1264,LOCAL,"글자에서 형상으로 피어나는 한글의 유희, 중랑구 제조 인프라로 구현하는 K-타이포 아트웨어",0,7,8,6,21,"중랑구 한글 K-타이포 아트웨어, 지역 제조 연계"
12550,LOCAL,나만의 샴페인 양조장!!,0,5,3,5,13,"나만의 샴페인 양조장, 컨셉만 존재"
5092,LOCAL,"[코스 추천부터 교통편 예약까지] 대전광역시 빵지순례 AI 에이전트 투어 플랫폼, 빵빵",7,7,8,7,22,"대전 빵지순례 AI 에이전트, 지역 특색 결합"
12504,LOCAL,"작가가 작품안에 구축해둔 세계관을 경험하며, 머무르고 싶어지는 갤러리. 간편하고 합리적으로 관람객을 위한, 관람객의 공간에 맞는 작품을 구입 할 수 있게 디렉팅 해 주는 갤러리",0,6,3,5,14,"작품 세계관 체험 갤러리, 흥미로우나 실행 모호"
12056,LOCAL,"남산 러닝의 베이스캠프, 해외 관광객들의 남산 러닝 니즈 해결을 위한 공간 창출",0,6,7,6,19,"남산 러닝 베이스캠프, 외국인 타깃 명확"
12509,LOCAL,광주 유휴공간을 활용한 체험형 로컬 스테이,0,5,7,5,17,"광주 유휴공간 체험형 스테이, 지역성 있으나 모호"
12485,LOCAL,도매시장 불낙처리 시스템,0,5,4,5,14,"도매시장 불낙처리 시스템, B2B 틈새"
12490,LOCAL,굴비의 도시 법성포에서 식사 후 머물 수 있는 디저트 체험 카페,0,5,8,5,18,"법성포 굴비도시 디저트 카페, 지역 특산 연계"
12480,LOCAL,AI 기반 전남 빈집·휴경 지 수익 최적화 매칭 플랫폼 : '황금땅 AI 큐레이터',0,7,8,7,22,"전남 빈집 AI 매칭 플랫폼, 지역 문제 해결"
11666,LOCAL,인천 개항로의 유휴 공간을 재생하여 지역 못난이 농산물 자원 순환과 파충류 생태 교감을 결합한 로컬 순환형 F&B 플랫폼,1,8,7,5,20,"인천 개항로 못난이 농산물 파충류 결합, 독특"
1803,LOCAL,쓰레기처리기를 편리하게 이용한 경우,0,2,1,2,5,"쓰레기처리기 이용, 구체성 전무"
12417,LOCAL,독일 유학생만이 알 수 있는 현지인의 찐템(진짜 아이템)을 데이터화하여 한국 시장에 맞춤형으로 제안하는 서비스,0,6,2,6,14,"독일 유학생 찐템 데이터, 독특하나 로컬성 없음"
12388,LOCAL,뭐라도 되겠지 꾸준히만 하자,0,1,1,2,4,"슬로건뿐, 아이디어 없음"
12123,LOCAL,체류형 예술치유 복합문화공간,0,5,4,5,14,"체류형 예술치유 복합공간, 모호함"
12368,LOCAL,핸드폰  경매  어플리케이션,1,3,1,4,8,"핸드폰 경매 앱, 일반적"
8296,LOCAL,지역의 맛을 만든다. 지역 로컬 푸드로 제작된 디저트카페,0,4,6,5,15,"지역 로컬푸드 디저트카페, 일반적"
12360,LOCAL,"잔디GPT (TurfAI)"" — AI 기반 잔디 생육·납품 예측 SaaS",0,8,5,8,21,"잔디 AI SaaS, 독창적 B2B 모델"
12351,LOCAL,전국 먹거리를 다양하게 공유할수있는 푸드싸이클링,0,4,4,4,12,"푸드 공유 사이클링, 모호"
12350,LOCAL,이성 로테이션 소개팅,0,4,1,4,9,"이성 로테이션 소개팅, 로컬과 무관"
12217,LOCAL,장수군의 제철 산나물을 프리미엄 장아찌로 가공해 판매하는 로컬 식품 사업,0,6,8,6,20,"장수군 산나물 프리미엄 장아찌, 지역특산 활용"
12178,LOCAL,"지역, 사회, 기업과 상생하는 AI 기반 수직형 장미 스마트팜 / 로즈 캐슬(Rose Castle)",0,7,6,7,20,"AI 수직 장미 스마트팜, 기술적 차별성"
12234,LOCAL,농수산 부산물을 활용해 친환경 낚시 밑밥과 양식 사료를 생산하는 자원순환형 사업(개인특허),0,7,6,7,20,"농수산 부산물 낚시밑밥 특허, 자원순환 구체적"
12076,LOCAL,광주지역돌봄공백해소,0,3,5,3,11,"광주 돌봄공백 해소, 막연함"
12210,LOCAL,지역 향토술회사에서 나온 술지게미를 이용한 발효화장품,0,7,8,6,21,"술지게미 발효화장품, 지역 향토술 연계 독특"
12207,LOCAL,밀양 농산물로 만드는 건강한 지역형 디저트 브랜드,6,4,7,5,16,"밀양 농산물 디저트 브랜드, 흔한 컨셉"
12206,LOCAL,K-컬처 체험과 에코 웰니스 휴식 결합. 글로벌 여행자와 로컬 커뮤니티를 잇는 100% 한국인 소유의 O2O 복합 문화 플랫폼,1,5,4,6,15,"K컬처 에코웰니스 O2O, 모호한 플랫폼"
12113,LOCAL,"Low-Sugar,High-Fiber! 대구의 뿌리(연근)로 건강한 단맛을 설계하다: 혈당 걱정 없는 반야월 연근을 활용한 디저트",2,7,8,7,22,"대구 반야월 연근 저당 디저트, 지역특산 활용"
12119,LOCAL,도전! 전통 방식으로 탄생하는 홍어회무침,1,4,5,4,13,"전통 홍어회무침, 흔함"
12141,LOCAL,"부산 장인 협업과 핸드웰트 기술을 기반으로, 오래 신을수록 가치가 쌓이는 프리미엄 수제 부츠를 글로벌 D2C로 직접 전달하는 브랜드 ""코릴라부츠""",0,7,7,8,22,"부산 장인 수제 프리미엄 부츠 D2C, 브랜드 명확"
12138,LOCAL,돼지고기를 이용한 안전하고 깨끗한 식사,0,2,2,3,7,"안전한 돼지고기 식사, 매우 일반적"
12074,LOCAL,지역문화적 가치를 보드게임으로 연결하는 로컬기반 정서학습 교육사업,1,6,7,6,19,"지역문화 보드게임 교육, 아이디어 구체적"
1439,LOCAL,👉 “소상공인과 1인 기업을 위한 마케팅과 지원사업을 연결하여 성장을 만드는 서비스”,0,4,3,5,12,"소상공인 지원사업 매칭, 기존 서비스 다수"
12101,LOCAL,"한 눈에 보이는 부산, '지하철 역별 랜드마크 마그넷'",2,5,7,5,17,"부산 지하철 랜드마크 마그넷, 관광기념품"
12077,LOCAL,"""도심 속 안식처에서 경험하는 고품격 순환 테라피:  메디컬스킨케어+데꼴데+헤드스파를 한 곳에서 경험하는 1:1프라이빗 메디컬 웰니스 솔루션""",0,6,3,6,15,"메디컬 웰니스 1:1 케어, 지역성 없음"
8115,LOCAL,ESG대응 및 건물가치제고를 위한 B2B 스마트 도시농업 서비스,0,6,4,7,17,"B2B ESG 도시농업, 기업 타깃 명확"
12080,LOCAL,당신의 이야기를 책으로 — 지역 주민·기관·1인 창업가의 삶을 출판으로 기록하는 동네 출판 플랫폼,0,6,7,5,18,"동네 출판 플랫폼, 지역 이야기 구체적"
12031,LOCAL,"남도의 바다를 집에서, 전복 한상 밀키트",0,5,8,6,19,"남도 전복 밀키트, 지역 식재료 활용"
12032,LOCAL,"1,500만 혈당 관리 인구의 식탁에서 '포기'를 없앤다 — 당뇨 전문 영양사·약사가 설계한 저당 식생활 솔루션",1,6,3,7,16,"당뇨 저당 식생활 솔루션, 시장 명확. 로컬 약함"
11964,LOCAL,"""동네 육아맘 간의 신뢰 기반 틈새 돌봄 매칭 및 품앗이 공유 플랫폼, 마마핸즈(Mama Hands)""",1,6,4,6,16,"육아맘 품앗이 돌봄 매칭, 실용적"
11886,LOCAL,AI 기반 해양레저(다이빙) 연결을 통해 지역 관광 소비를 창출하는 플랫폼,0,6,6,6,18,"해양레저 다이빙 AI 플랫폼, 구체적"
11801,LOCAL,경남 소멸 위기를 살리는 AI 숏폼 뮤직비디오 서비스,1,7,7,6,20,"경남 소멸 AI 숏폼 뮤비, 독창적 접근"
9641,LOCAL,AI 기반 로컬 콘텐츠 솔루션과 수익 공유형 브랜드 상품 기획을 통한 유통 혁신,0,5,5,5,15,"AI 로컬 콘텐츠 유통, 모호함"
11941,LOCAL,"""이천 쌀 전분 호화 기술과 시니어의 정성을 담은 100% 핸드메이드 프리미엄 기능성 수제 쌀껌""",0,8,8,6,22,"이천쌀 기능성 수제 쌀껌, 시니어 결합 독특"
7929,LOCAL,한끼뚝딱 고단백 로컬찬,0,3,5,4,12,"고단백 로컬찬, 단순"
7096,LOCAL,세상에 하나뿐인 케이크를 직접 만드는 반려동물 전용 수제 공방 클래스,0,5,2,5,12,"반려동물 수제 케이크 공방 클래스, 흔한 틈새"
11853,LOCAL,충북 산간·농촌 통신 음영지역을 위한 LoRa 메쉬 기반 저비용 비상통신 및 농업 IoT 네트워크,1,8,7,7,22,"LoRa 메쉬 농촌 비상통신, 기술적 독창성 높음"
11788,LOCAL,우리동네 함께하는 식당,0,2,3,3,8,"함께하는 식당, 모호함"
11769,LOCAL,음식점 테이블 식기 자동 수납 및 세척,0,5,2,5,12,"식기 자동 수납 세척, 기계 아이디어"
10880,LOCAL,로컬브랜드·지역 식문화 자산 소싱을 통한 웰니스 식품 개발,0,5,6,5,16,"로컬 식문화 웰니스 식품, 일반적"
11748,LOCAL,아이들이 재미있게 배울수 있는 수업,0,2,2,3,7,"아이들 재미있는 수업, 모호함"
11728,LOCAL,"나보다 나를 더 잘 아는 AI가 체형과 컬러를 분석해, 당신의 TPO에 맞춘 최적의 스타일을 매달 문 앞까지 배송하는 초개인화 패션 구독 서비스",0,6,1,7,14,"AI 초개인화 패션 구독, 기존 유사 서비스 존재"
11723,LOCAL,일손이 부족한 농촌에 도움을!,1,3,4,3,10,"농촌 일손 돕기, 모호함"
11710,LOCAL,Working Space에서 목표에 한 발짝 다가가기,0,3,2,3,8,"워킹스페이스, 모호함"
11711,LOCAL,지역 자원을 활용한 반려식물 체험형 플러피 화분 사업,1,5,5,5,15,"반려식물 플러피 화분 체험, 틈새"
11674,LOCAL,하얀 갑오징어 겉바속촉 갑오징어  안먹어본사람은 있어도  한번만먹어본사람은없죠?군산앞바다 갑오징어 를  질긴 껍질을벗기고 예뿌게포장해 혼자또는둘이 서 간단하지만 프리미엄하게~,0,5,8,5,18,"군산 갑오징어 프리미엄 포장, 지역특산 활용"
11668,LOCAL,도전 나만의 컵과일 매장,0,2,2,3,7,"컵과일 매장, 일반적"
11609,LOCAL,"빈집을 공동체가 함께 소유하고, 청년에게는 월 10만 원 주거를, 방문자에게는 안식의 피정 공간을 제공하는 한국 최초 공동체 토지신탁(K-CLT)을 시작합니다.",0,9,8,7,24,"공동체 토지신탁 K-CLT 빈집, 독창적 사회혁신"
8343,LOCAL,"당 흡수는 천천히, 포만감은 길게, 노화 속도는 ‘엉금앙금(eong-geum ang-geum)'",1,5,2,5,12,"저당 건기식 슬로건, 구체성 부족"
11591,LOCAL,컬렉션 전시 종합 문화공간,0,3,3,3,9,"컬렉션 전시 공간, 모호"
11487,LOCAL,한국을 담아가는 K-그래픽 커스텀 스튜디오,0,6,6,6,18,"K-그래픽 커스텀 스튜디오, 괜찮은 아이디어"
11526,LOCAL,"은퇴 국가대표의 노하우와 지자체 오프라인 모객을 결합한, 목표 기반 O2O 코칭 플랫폼",0,7,5,7,19,"은퇴국가대표 O2O 코칭, 독특한 인력 활용"
11510,LOCAL,"나를 비워 우리를 채우는 상생의 철학, 투명한 프로토콜 운영으로 공정한 수익 분배를 실현하며 '우리가 되는' “비움비”",1,3,2,3,8,"상생 철학 비움비, 추상적"
11495,LOCAL,"Jeju Flower Healing (제주 꽃치유 연구소): 제주의 자연을 매개로, 사람의 감정을 회복시키는 로컬 플라워 힐링 브랜드",0,6,8,5,19,"제주 플라워 힐링 브랜드, 지역자연 활용"
11463,LOCAL,제주용암해수를 이용한 페로몬 바디워시,0,7,9,6,22,"제주용암해수 페로몬 바디워시, 지역자원 독특"
11475,LOCAL,목공 기술과 화훼 디자인을 융합한 공간장식 제작 서비스,1,5,3,5,13,"목공 화훼 융합 공간장식, 틈새"
11424,LOCAL,울산 유일유잼 키덜트셀렉트샵,1,5,6,5,16,"울산 키덜트 셀렉트샵, 지역 틈새"
11443,LOCAL,"오늘의 랜덤 메뉴 서비스: 뭐 먹을지 결정하지 못하는 사람들을 대상으로 해당 지역의 맛집 등을 랜덤하게 추천하고, 해당 식당과 연계하여 할인 쿠폰 등을 제공하는 사업.",0,4,3,5,12,"랜덤 메뉴 추천 서비스, 유사 서비스 존재"
11435,LOCAL,미국 월스트리트 컨셉의 카페,0,3,2,4,9,"월스트리트 컨셉 카페, 차별성 낮음"
1751,LOCAL,"수도권과 비수도권의 영어 학습 격차를 해결하고, AI를 활용해 수익성을 극대화하는 지역형 실전 영어 학습 커뮤니티",0,5,5,6,16,"지역형 AI 영어 학습, 교육격차 해결"
10929,LOCAL,"단순한 주점을 넘어, 마술 퍼포먼스와 타로 상담이라는 이색 테마로 청년들에게 특별한 경험을 선사하는 천안 로컬 복합 문화 공간!",4,6,5,5,16,"천안 마술 타로 테마 주점, 독특한 경험"
11349,LOCAL,"익명의 타인과 한잔, 여행 속 또다른 작은 힐링 여행, mz들의 여행 필수코스. 스몰톡 바 in 지역! 지역 특색이 담겨있고 낯선사람과 대화를 나눌 수 있는 지역 바.",0,6,6,5,17,"스몰톡 바 지역 여행, 재미있는 컨셉"
11384,LOCAL,지역특색을 살린 분위기좋은 카페(분조카),0,3,5,3,11,"분위기 좋은 카페, 구체성 부족"
11373,LOCAL,알록달록 마법의 가루샵,0,3,2,3,8,"마법의 가루샵, 모호함"
11378,LOCAL,지역 맛집 밀키트 구독 서비스,2,4,6,5,15,"지역 맛집 밀키트 구독, 기존 유사"
11363,LOCAL,계절별 제철음식을 활용한 한국식 디저트 카페,0,3,4,3,10,"계절 제철 한국식 디저트카페, 흔함"
11323,LOCAL,지역 특산물을 활용한 브런치카페 창업,0,3,5,3,11,"지역특산 브런치카페, 일반적"
11102,LOCAL,"제주의 맛을 한 장에 담다 — 로컬 식재료로 만든 프리미엄 튀일, 마음을 전하는 제주 간식 브랜드""",1,6,8,6,20,"제주 식재료 프리미엄 튀일, 지역 연계 구체적"
11331,LOCAL,생산자 정보 기반 신뢰 소비를 구현하는 지역 농산물 직거래 플랫폼,1,5,6,5,16,"농산물 직거래 플랫폼, 기존 다수"
11186,LOCAL,"패턴 설계부터 봉제까지 하나의 공정으로 통합해, 완성도 높은 의류를 합리적인 가격으로 제공하는 생산 기반 의류 브랜드입니다.",1,6,3,6,15,"패턴 봉제 통합 의류 브랜드, 차별화 있음"
11311,LOCAL,세상의모든 쨈 오마카세 카페,0,5,3,4,12,"잼 오마카세 카페, 재미있는 컨셉"
11301,LOCAL,위치 기반 맞춤형 맛집 추천 및 예약 서비스,0,3,2,4,9,"위치기반 맛집 추천, 기존 다수"
11296,LOCAL,구독형 개인 맞춤형 스테비아·프리미엄 과일 도시락 서비스,0,5,3,5,13,"스테비아 과일 도시락 구독, 틈새"
11210,LOCAL,"[AJO: 애니멀 전주 올림픽]  ""준비된 전주, 귀여운 한국 야생동물의 역습!""  AI 숏폼과 메타버스로 즐기는 힙한 로컬 엔터테인먼트 ''AJO(애니멀 전주 올림픽)''",0,8,8,6,22,"전주 애니멀 올림픽 메타버스, 독창적 로컬 엔터"
11277,LOCAL,뚜벅이 여행자를 위한 1일 자차투어  가이드,0,5,5,5,15,"뚜벅이 여행자 1일 자차투어, 실용적"
11252,LOCAL,"깃과 주름, 전통 문양으로 과거, 현재, 미래를 잇는 희소성 패션",0,6,5,5,16,"전통 문양 희소성 패션, 구체성 부족"
11249,LOCAL,1인 가구를 위한 배달 서비스,1,3,2,4,9,"1인가구 배달, 일반적"
11250,LOCAL,퍼스널 맞춤 뷰티 추천 및 제품 체험 공유 플랫폼,1,4,2,5,11,"퍼스널 뷰티 추천 플랫폼, 기존 다수"
11199,LOCAL,"나만의 수제 틴케이스, 폰케이스 샵",1,4,2,4,10,"수제 틴케이스 폰케이스, 일반적"
11215,LOCAL,도전! 배달과 집밥을 아우르는 개인 맞춤 메뉴 서비스,1,3,2,4,9,"개인 맞춤 메뉴, 모호"
11231,LOCAL,24시간 무인 충전소,2,3,2,4,9,"무인 충전소, 일반적"
11183,LOCAL,나만 혼밥 아니야 혼밥 탈출,1,3,3,3,9,"혼밥 탈출, 모호함"
11219,LOCAL,루틴 만들어주는 구독 서비스,1,4,1,4,9,"루틴 구독, 로컬성 없음"
11228,LOCAL,개인 맞춤형 취향 기반 선물 추천 및 큐레이션 서비스,1,4,2,5,11,"선물 큐레이션, 기존 다수"
11216,LOCAL,맞춤맞춤형 공부AI,0,4,1,5,10,"맞춤형 공부 AI, 로컬성 없음"
11204,LOCAL,의료 공백을 줄이는 지역 기반 비대면 건강관리 매칭 서비스,2,6,5,6,17,"지역 비대면 건강관리 매칭, 의료공백 해결"
11213,LOCAL,눈과 입을 즐겁게! 파프리카로 시작하는 건강식,0,4,4,4,12,"파프리카 건강식, 모호"
11220,LOCAL,너도 챌린저 될수있어,0,2,1,2,5,"챌린저 슬로건, 내용 없음"
11207,LOCAL,온라인에서도 실제로 입어본 것처럼 확인할 수 있는 가상 피팅 서비스앱,1,4,1,5,10,"가상 피팅 앱, 기존 다수"
11208,LOCAL,"기숙사,자취생을 위한 생활용품 대여 서비스",0,5,3,5,13,"생활용품 대여 서비스, 틈새"
11185,LOCAL,외국인을 위한 한국 생활 정보 앱입니다,1,4,3,5,12,"외국인 한국 생활 정보 앱, 기존 존재"
11192,LOCAL,지역 농산물 'B급 상품' 큐레이션 정기구독,0,6,7,6,19,"B급 농산물 구독, 자원 활용"
11205,LOCAL,주말마다 다른 테마의 키즈 체험형 놀이 수업 서비스!,0,4,3,4,11,"키즈 테마 체험 수업, 흔함"
11184,LOCAL,학생들을 위한 저렴한 배달 음식 서비스입니더,0,3,3,3,9,"학생 저렴 배달, 일반적"
11203,LOCAL,하루 스케줄을 어플로 기록해 스케줄 시간마다 알림을 보내는 어플,0,3,1,3,7,"스케줄 알림 앱, 기존 다수"
11198,LOCAL,대학생을 위한 공동구매 기반 생활비 절감 플랫폼,2,5,4,5,14,"대학생 공동구매 플랫폼, 틈새"
11163,LOCAL,지역의 작은 공실을 활용해 예비 창업자와 1인 브랜드가 저비용으로 오프라인 반응을 실험할 수 있도록 돕는 초소형 팝업 테스트 플랫폼입니다.,0,7,6,7,20,"초소형 팝업 테스트 플랫폼, 지역 공실 활용"
11179,LOCAL,밖이나 안 알레르기 강도를 알려주는 도구,0,4,2,4,10,"알레르기 강도 도구, 구체성 부족"
11178,LOCAL,개인형 맞춤 러닝화 추천 리스트,0,3,1,4,8,"러닝화 추천 리스트, 일반적"
11164,LOCAL,"강원도 속초를 거점으로 한 온오프라인 귀촌 기술 학교 플랫폼으로, 예비 귀촌인에게 주거, 일자리, 창업 역량을 교육하고 멘토링과 현장 실습을 연계하는 로컬 창업 모델입니다.​",0,7,7,6,20,"속초 귀촌 기술 학교 플랫폼, 지역 정착 모델"
11139,LOCAL,"대구 섬유 원단으로 꽃잎을 만들고, 꽃말로 감정을 전달하는 조화 인테리어 오브제 브랜드입니다.",0,7,8,6,21,"대구 섬유 원단 꽃잎 조화, 지역 산업 연계"
11070,LOCAL,AI가 여행자의 상황과 취향을 분석해 전주 한옥마을 중심의 전주 여행 코스를 실시간으로 맞춤 설계해주는 개인화 가이드 서비스,0,6,7,6,19,"전주 한옥마을 AI 맞춤 가이드, 지역 특화"
11076,LOCAL,Waldatelier(발트아틀리에) - 생태 감수성과 아날로그 미술이 만나는 자연 기반 생태 미술 교육 브랜드,0,6,5,5,16,"자연기반 생태미술 교육 브랜드, 차별성 있음"
11045,LOCAL,미취업 쉬었음 청년들을 위한 취업비용 마련 보조앱 개발,0,4,3,4,11,"청년 취업비용 보조앱, 모호"
10084,LOCAL,"모양은 흐트러짐 없이 깔끔하게, 취향대로 골라먹는 나만의 케이크 [Sweet Brick Cake]",0,5,2,5,12,"스위트 브릭 케이크, 제품 아이디어"
10925,LOCAL,"제주의 10대 명소와 대표 상징을 로컬 농산물(말차, 땅콩,감귤 등)로 구현한 프리미엄 아트 디저트, '제주 풍경 한 입' 제작",1,7,9,6,22,"제주 10대 명소 로컬농산물 아트디저트, 지역성 강함"
10836,LOCAL,20년 베테랑의 연출 노하우를 이식한 ‘초고효율 AI 기반 유튜브 제작 및 채널 관리 자동화 엔진,0,6,2,7,15,"AI 유튜브 자동화 엔진, 로컬성 없음"
10894,LOCAL,강원 지역 소상공인의 상품을 하나의 키트로 구성해 판매하는 '로컬 체험 키트 구독 서비스',0,6,7,6,19,"강원 소상공인 체험 키트 구독, 지역 연계"
10858,LOCAL,휴대성에 특화된 3단 폴딩 착탈식 개인이동수단 폴드라인(Foldline),1,6,2,6,14,"3단 폴딩 개인이동수단, 제품 차별화"
10862,LOCAL,"목욕 시간·각질·수질, 세신 업계가 놓친 세 가지 진실로 설계한 의학 기반 바디케어 센터 — 별당(別堂)",0,7,4,6,17,"의학기반 바디케어 별당, 차별화 구체적"
9200,LOCAL,"연간 1만 명이 방문하는 체류형 숙소를 기반으로, 직접 재배한 고흥 유자를 활용한 체험형 농촌 6차 산업 모델 ""신스 유자LABO""",0,8,9,7,24,"고흥 유자 체험형 6차산업, 지역성 강함"
10853,LOCAL,쌀가루를 이용한 건강한 베이커리,1,3,4,3,10,"쌀가루 건강 베이커리, 흔함"
